"","A1SEPA_z","A1PAGE_M2","A1PRSEX","raceA","A1SE2","A1SE3","A1SE4","A1PC1","sibling","CEDUC4cat","A1PC14","A1SE9","A1SE7","A1SE8c","mom_smk","dad_smk","B1PA58","A1SE6","flourish_z","emotion_z","social_z","psych_z","B1SPOSAFz","B1SQ1z","B1SSWBMSz","B1SSWBSIz","B1SSWBAOz","B1SSWBSCz","B1SSWBSAz","B1SPWBA1z","B1SPWBE1z","B1SPWBG1z","B1SPWBR1z","B1SPWBU1z","B1SPWBS1z"
"1",-0.100383974173933,53,"a.Male","a.White",1,1,1,1,1,"d.College degree or more",0,5,"d.Suburbs",1,0,1,0,"b.Somewhat important",-0.932498817308422,-0.297985335547869,-0.965325306092212,-1.03724907697754,-0.601749795032627,0.080422695736275,-1.36429144673257,-0.934200529475969,-0.315614145169029,-0.999828355671105,0.0867571507408265,-1.16160864227984,-0.870472110963277,-0.998618503573106,-1.27332936162352,0.227025205022747,-0.354172978639385
"2",-0.100383974173933,70,"b.Female","a.White",0,0,0,1,3,"c.Some college",1,3,"e.City",1,0,1,0,"d.Not at all important",1.88713569056149,1.78006706864081,1.47108674084748,1.45715406066499,1.75665968834446,1.38651348148181,-1.68884834711826,1.57685810287594,1.80637443541967,1.45717375783483,1.59735224599286,1.12222383691162,0.993667419032568,0.878072815034142,0.83273503929931,1.40062019940863,0.966716703622924
"3",0.791800979921772,46,"a.Male","a.White",1,1,1,1,3,"c.Some college",0,4,"c.Medium town",0,1,1,0,"b.Somewhat important",-0.670022682542716,1.30689330123276,-1.98704648706692,-0.967960100931916,2.22834158501988,0.080422695736275,-0.715177645961176,-1.43641225594635,-0.618755370967414,-1.81882906017308,-2.17913549213723,0.469700271428349,-0.249092267631329,-0.373054730704024,-1.27332936162352,-2.12016478374901,-0.354172978639385
"4",0.027071019268311,41,"a.Male","a.White",1,1,0,1,4,"b.High school",0,4,"d.Suburbs",1,0,1,0,"b.Somewhat important",-0.215543772410919,0.236974210045675,-0.965325306092212,0.209952491843723,0.34161399831821,0.080422695736275,-0.715177645961176,-0.934200529475969,-0.618755370967414,-0.999828355671105,-0.165008698467846,-0.509085076796565,0.372287575700619,-1.31140039000765,0.306218939068604,1.40062019940863,0.438360830718
"5",-0.992568928269637,42,"a.Male","a.White",1,1,1,1,3,"c.Some college",0,4,"d.Suburbs",1,1,1,1,"a.Very important",-0.209154586922248,-0.431725221946255,0.134989811880551,-0.205781364430032,-0.837590743370336,0.080422695736275,0.583049955581604,-0.180882939770395,-0.315614145169029,-0.180827651169126,0.590288849158172,0.143438488686711,-0.249092267631329,0.252509042165059,-1.27332936162352,-0.359772292170194,0.702538767170462
"6",-0.482748954500663,69,"b.Female","a.White",1,1,1,1,3,"d.College degree or more",0,6,"c.Medium town",1,1,1,0,"a.Very important",0.554666894067643,-0.0305055627510969,1.07811705585721,0.348530443934975,-0.130067898357208,0.080422695736275,0.258493055195909,0.82354051317037,1.80637443541967,0.0921725836648668,0.842054698366845,0.143438488686711,-0.870472110963277,0.878072815034142,1.09599308941466,-0.653171040766664,0.702538767170462
"7",1.04671096680626,54,"b.Female","a.White",0,0,0,1,3,"d.College degree or more",0,7,"c.Medium town",1,0,1,0,"c.Not very important",1.31990975070337,1.27600041214001,0.842335244863042,1.17999815648248,1.52081874000676,0.73346808860904,1.55672065673869,0.82354051317037,0.593809532226126,0.911173288166846,-0.668540396885192,0.469700271428349,0.993667419032568,0.878072815034142,1.09599308941466,1.10722145081216,0.438360830718
"8",-2.01220887580759,47,"b.Female","a.White",1,1,1,0,4,"b.High school",1,1,"b.Small town",1,1,0,1,"b.Somewhat important",1.16561201530818,1.64632718224242,-0.257979873109722,1.52644303671061,1.52081874000676,1.38651348148181,-0.715177645961176,-2.18972984565193,1.80637443541967,-0.726828120837112,1.09382054757552,1.44848561965326,0.993667419032568,1.19085470146868,1.09599308941466,0.520423953619217,1.23089464007539
"9",1.1741659602485,46,"a.Male","a.White",1,1,1,1,3,"d.College degree or more",0,3,"b.Small town",1,0,0,0,"b.Somewhat important",2.01972166664393,1.24510752304726,2.33562004782608,1.45715406066499,0.813295894993628,1.38651348148181,1.55672065673869,1.32575223964075,2.10951566121805,1.18417352300084,2.10088394441021,1.44848561965326,1.30435734069854,1.19085470146868,1.09599308941466,-0.0663735435737235,1.23089464007539
"10",-0.100383974173933,48,"b.Female","c.Others",1,1,1,1,5,"a.Less than high school",1,4,"b.Small town",1,1,1,1,"b.Somewhat important",-2.01666479581922,-1.67644541865187,-0.965325306092212,-2.35373962184443,-1.07343169170804,-1.87871348288202,-2.01340524750396,-0.683094666240778,0.290668306427741,-0.453827886003119,-0.668540396885192,-1.48787042502148,-0.870472110963277,-1.93696416287673,-2.06310351196958,-1.2399685379596,-2.20341853380662
"11",-0.992568928269637,44,"a.Male","a.White",1,1,1,0,2,"b.High school",0,3,"b.Small town",0,1,1,0,"b.Somewhat important",-0.748655217313469,-0.668312105650278,-0.415167747105831,-0.760093172795038,-0.601749795032627,-0.57262269713649,-0.0660638451897861,-0.683094666240778,-0.315614145169029,-0.180827651169126,-0.165008698467846,1.12222383691162,-0.559782189297303,-2.24974604931127,-0.220297161162103,-1.2399685379596,-0.0899950421869232
