"","scen","method","power","X","bt.type","n","nX","nY","rho.XX","rho.YY","rho.XY","prop.corr","group","method.label"
"212",27,"minP",0.594,51,"ha.resid",1000,1,40,0,0.3,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","minP"
"213",27,"ours.0.01",0.64,51,"ha.resid",1000,1,40,0,0.3,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","Global (alpha=0.01)"
"214",27,"ours.0.05",0.73,51,"ha.resid",1000,1,40,0,0.3,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","Global (alpha=0.05)"
"215",27,"Romano",0.734,51,"ha.resid",1000,1,40,0,0.3,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","Romano"
"216",27,"Wstep",0.594,51,"ha.resid",1000,1,40,0,0.3,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","Wstep"
"217",28,"bonf.naive",0.354,52,"ha.resid",1000,1,40,0,0.6,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","Bonferroni"
"218",28,"holm",0.354,52,"ha.resid",1000,1,40,0,0.6,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","Holm"
"220",28,"minP",0.442,52,"ha.resid",1000,1,40,0,0.6,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","minP"
"221",28,"ours.0.01",0.466,52,"ha.resid",1000,1,40,0,0.6,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","Global (alpha=0.01)"
"222",28,"ours.0.05",0.506,52,"ha.resid",1000,1,40,0,0.6,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","Global (alpha=0.05)"
"223",28,"Romano",0.598,52,"ha.resid",1000,1,40,0,0.6,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","Romano"
"224",28,"Wstep",0.442,52,"ha.resid",1000,1,40,0,0.6,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","Wstep"
"225",29,"bonf.naive",0.994,13,"ha.resid",1000,1,40,0,0,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","Bonferroni"
"226",29,"holm",0.994,13,"ha.resid",1000,1,40,0,0,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","Holm"
"228",29,"minP",0.994,13,"ha.resid",1000,1,40,0,0,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","minP"
"229",29,"ours.0.01",1,13,"ha.resid",1000,1,40,0,0,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","Global (alpha=0.01)"
"230",29,"ours.0.05",0.992,13,"ha.resid",1000,1,40,0,0,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","Global (alpha=0.05)"
"231",29,"Romano",0.996,13,"ha.resid",1000,1,40,0,0,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","Romano"
"232",29,"Wstep",0.994,13,"ha.resid",1000,1,40,0,0,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","Wstep"
"233",30,"bonf.naive",0.996,14,"ha.resid",1000,1,40,0,0.1,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","Bonferroni"
"234",30,"holm",0.996,14,"ha.resid",1000,1,40,0,0.1,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","Holm"
"236",30,"minP",0.996,14,"ha.resid",1000,1,40,0,0.1,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","minP"
"237",30,"ours.0.01",0.988,14,"ha.resid",1000,1,40,0,0.1,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","Global (alpha=0.01)"
"238",30,"ours.0.05",0.982,14,"ha.resid",1000,1,40,0,0.1,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","Global (alpha=0.05)"
"239",30,"Romano",0.998,14,"ha.resid",1000,1,40,0,0.1,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","Romano"
"240",30,"Wstep",0.996,14,"ha.resid",1000,1,40,0,0.1,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","Wstep"
"241",31,"bonf.naive",0.938,15,"ha.resid",1000,1,40,0,0.3,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","Bonferroni"
"242",31,"holm",0.938,15,"ha.resid",1000,1,40,0,0.3,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","Holm"
"244",31,"minP",0.954,15,"ha.resid",1000,1,40,0,0.3,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","minP"
"245",31,"ours.0.01",0.948,15,"ha.resid",1000,1,40,0,0.3,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","Global (alpha=0.01)"
"246",31,"ours.0.05",0.848,15,"ha.resid",1000,1,40,0,0.3,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","Global (alpha=0.05)"
"247",31,"Romano",0.968,15,"ha.resid",1000,1,40,0,0.3,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","Romano"
"248",31,"Wstep",0.954,15,"ha.resid",1000,1,40,0,0.3,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","Wstep"
"249",32,"bonf.naive",0.852,16,"ha.resid",1000,1,40,0,0.6,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","Bonferroni"
"250",32,"holm",0.852,16,"ha.resid",1000,1,40,0,0.6,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","Holm"
"252",32,"minP",0.914,16,"ha.resid",1000,1,40,0,0.6,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","minP"
"253",32,"ours.0.01",0.894,16,"ha.resid",1000,1,40,0,0.6,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","Global (alpha=0.01)"
"254",32,"ours.0.05",0.134,16,"ha.resid",1000,1,40,0,0.6,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","Global (alpha=0.05)"
"255",32,"Romano",0.942,16,"ha.resid",1000,1,40,0,0.6,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","Romano"
"256",32,"Wstep",0.914,16,"ha.resid",1000,1,40,0,0.6,0.1,0.2,"X-Y correlation: 0.1 for 20% of pairs","Wstep"
"257",33,"bonf.naive",1,33,"ha.resid",1000,1,40,0,0,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","Bonferroni"
"258",33,"holm",1,33,"ha.resid",1000,1,40,0,0,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","Holm"
"260",33,"minP",1,33,"ha.resid",1000,1,40,0,0,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","minP"
"261",33,"ours.0.01",1,33,"ha.resid",1000,1,40,0,0,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","Global (alpha=0.01)"
"262",33,"ours.0.05",1,33,"ha.resid",1000,1,40,0,0,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","Global (alpha=0.05)"
"263",33,"Romano",1,33,"ha.resid",1000,1,40,0,0,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","Romano"
"264",33,"Wstep",1,33,"ha.resid",1000,1,40,0,0,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","Wstep"
"265",34,"bonf.naive",0.998,34,"ha.resid",1000,1,40,0,0.1,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","Bonferroni"
"266",34,"holm",0.998,34,"ha.resid",1000,1,40,0,0.1,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","Holm"
"268",34,"minP",0.998,34,"ha.resid",1000,1,40,0,0.1,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","minP"
"269",34,"ours.0.01",1,34,"ha.resid",1000,1,40,0,0.1,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","Global (alpha=0.01)"
"270",34,"ours.0.05",1,34,"ha.resid",1000,1,40,0,0.1,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","Global (alpha=0.05)"
"271",34,"Romano",0.998,34,"ha.resid",1000,1,40,0,0.1,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","Romano"
"272",34,"Wstep",0.998,34,"ha.resid",1000,1,40,0,0.1,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","Wstep"
"273",35,"bonf.naive",0.99,35,"ha.resid",1000,1,40,0,0.3,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","Bonferroni"
"274",35,"holm",0.99,35,"ha.resid",1000,1,40,0,0.3,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","Holm"
"276",35,"minP",0.992,35,"ha.resid",1000,1,40,0,0.3,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","minP"
"277",35,"ours.0.01",0.998,35,"ha.resid",1000,1,40,0,0.3,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","Global (alpha=0.01)"
"278",35,"ours.0.05",1,35,"ha.resid",1000,1,40,0,0.3,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","Global (alpha=0.05)"
"279",35,"Romano",0.996,35,"ha.resid",1000,1,40,0,0.3,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","Romano"
"280",35,"Wstep",0.992,35,"ha.resid",1000,1,40,0,0.3,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","Wstep"
"281",36,"bonf.naive",0.916,36,"ha.resid",1000,1,40,0,0.6,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","Bonferroni"
"282",36,"holm",0.916,36,"ha.resid",1000,1,40,0,0.6,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","Holm"
"284",36,"minP",0.952,36,"ha.resid",1000,1,40,0,0.6,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","minP"
"285",36,"ours.0.01",0.952,36,"ha.resid",1000,1,40,0,0.6,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","Global (alpha=0.01)"
"286",36,"ours.0.05",0.962,36,"ha.resid",1000,1,40,0,0.6,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","Global (alpha=0.05)"
"287",36,"Romano",0.972,36,"ha.resid",1000,1,40,0,0.6,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","Romano"
"288",36,"Wstep",0.952,36,"ha.resid",1000,1,40,0,0.6,0.1,0.5,"X-Y correlation: 0.1 for 50% of pairs","Wstep"
"289",37,"bonf.naive",1,53,"ha.resid",1000,1,40,0,0,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","Bonferroni"
"290",37,"holm",1,53,"ha.resid",1000,1,40,0,0,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","Holm"
"292",37,"minP",1,53,"ha.resid",1000,1,40,0,0,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","minP"
"293",37,"ours.0.01",1,53,"ha.resid",1000,1,40,0,0,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","Global (alpha=0.01)"
"294",37,"ours.0.05",1,53,"ha.resid",1000,1,40,0,0,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","Global (alpha=0.05)"
"295",37,"Romano",1,53,"ha.resid",1000,1,40,0,0,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","Romano"
"296",37,"Wstep",1,53,"ha.resid",1000,1,40,0,0,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","Wstep"
"297",38,"bonf.naive",1,54,"ha.resid",1000,1,40,0,0.1,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","Bonferroni"
"298",38,"holm",1,54,"ha.resid",1000,1,40,0,0.1,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","Holm"
"300",38,"minP",1,54,"ha.resid",1000,1,40,0,0.1,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","minP"
"301",38,"ours.0.01",1,54,"ha.resid",1000,1,40,0,0.1,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","Global (alpha=0.01)"
"302",38,"ours.0.05",1,54,"ha.resid",1000,1,40,0,0.1,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","Global (alpha=0.05)"
"303",38,"Romano",1,54,"ha.resid",1000,1,40,0,0.1,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","Romano"
"304",38,"Wstep",1,54,"ha.resid",1000,1,40,0,0.1,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","Wstep"
"305",39,"bonf.naive",0.996,55,"ha.resid",1000,1,40,0,0.3,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","Bonferroni"
"306",39,"holm",0.996,55,"ha.resid",1000,1,40,0,0.3,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","Holm"
"308",39,"minP",0.996,55,"ha.resid",1000,1,40,0,0.3,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","minP"
"309",39,"ours.0.01",0.998,55,"ha.resid",1000,1,40,0,0.3,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","Global (alpha=0.01)"
"310",39,"ours.0.05",1,55,"ha.resid",1000,1,40,0,0.3,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","Global (alpha=0.05)"
"311",39,"Romano",0.998,55,"ha.resid",1000,1,40,0,0.3,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","Romano"
"312",39,"Wstep",0.996,55,"ha.resid",1000,1,40,0,0.3,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","Wstep"
"313",40,"bonf.naive",0.948,56,"ha.resid",1000,1,40,0,0.6,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","Bonferroni"
"314",40,"holm",0.948,56,"ha.resid",1000,1,40,0,0.6,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","Holm"
"316",40,"minP",0.964,56,"ha.resid",1000,1,40,0,0.6,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","minP"
"317",40,"ours.0.01",0.972,56,"ha.resid",1000,1,40,0,0.6,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","Global (alpha=0.01)"
"318",40,"ours.0.05",0.98,56,"ha.resid",1000,1,40,0,0.6,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","Global (alpha=0.05)"
"319",40,"Romano",0.98,56,"ha.resid",1000,1,40,0,0.6,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","Romano"
"320",40,"Wstep",0.964,56,"ha.resid",1000,1,40,0,0.6,0.1,1,"X-Y correlation: 0.1 for 100% of pairs","Wstep"
"321",41,"bonf.naive",1,17,"ha.resid",1000,1,40,0,0,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","Bonferroni"
"322",41,"holm",1,17,"ha.resid",1000,1,40,0,0,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","Holm"
"324",41,"minP",1,17,"ha.resid",1000,1,40,0,0,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","minP"
"325",41,"ours.0.01",1,17,"ha.resid",1000,1,40,0,0,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","Global (alpha=0.01)"
"326",41,"ours.0.05",1,17,"ha.resid",1000,1,40,0,0,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","Global (alpha=0.05)"
"327",41,"Romano",1,17,"ha.resid",1000,1,40,0,0,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","Romano"
"328",41,"Wstep",1,17,"ha.resid",1000,1,40,0,0,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","Wstep"
"329",42,"bonf.naive",1,18,"ha.resid",1000,1,40,0,0.1,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","Bonferroni"
"330",42,"holm",1,18,"ha.resid",1000,1,40,0,0.1,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","Holm"
"332",42,"minP",1,18,"ha.resid",1000,1,40,0,0.1,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","minP"
"333",42,"ours.0.01",1,18,"ha.resid",1000,1,40,0,0.1,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","Global (alpha=0.01)"
"334",42,"ours.0.05",1,18,"ha.resid",1000,1,40,0,0.1,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","Global (alpha=0.05)"
"335",42,"Romano",1,18,"ha.resid",1000,1,40,0,0.1,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","Romano"
"336",42,"Wstep",1,18,"ha.resid",1000,1,40,0,0.1,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","Wstep"
"337",43,"bonf.naive",1,19,"ha.resid",1000,1,40,0,0.3,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","Bonferroni"
"338",43,"holm",1,19,"ha.resid",1000,1,40,0,0.3,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","Holm"
"340",43,"minP",1,19,"ha.resid",1000,1,40,0,0.3,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","minP"
"341",43,"ours.0.01",1,19,"ha.resid",1000,1,40,0,0.3,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","Global (alpha=0.01)"
"342",43,"ours.0.05",0.996,19,"ha.resid",1000,1,40,0,0.3,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","Global (alpha=0.05)"
"343",43,"Romano",1,19,"ha.resid",1000,1,40,0,0.3,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","Romano"
"344",43,"Wstep",1,19,"ha.resid",1000,1,40,0,0.3,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","Wstep"
"345",44,"bonf.naive",1,20,"ha.resid",1000,1,40,0,0.6,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","Bonferroni"
"346",44,"holm",1,20,"ha.resid",1000,1,40,0,0.6,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","Holm"
"348",44,"minP",1,20,"ha.resid",1000,1,40,0,0.6,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","minP"
"349",44,"ours.0.01",1,20,"ha.resid",1000,1,40,0,0.6,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","Global (alpha=0.01)"
"350",44,"ours.0.05",0.202,20,"ha.resid",1000,1,40,0,0.6,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","Global (alpha=0.05)"
"351",44,"Romano",1,20,"ha.resid",1000,1,40,0,0.6,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","Romano"
"352",44,"Wstep",1,20,"ha.resid",1000,1,40,0,0.6,0.15,0.2,"X-Y correlation: 0.15 for 20% of pairs","Wstep"
"353",45,"bonf.naive",1,37,"ha.resid",1000,1,40,0,0,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","Bonferroni"
"354",45,"holm",1,37,"ha.resid",1000,1,40,0,0,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","Holm"
"356",45,"minP",1,37,"ha.resid",1000,1,40,0,0,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","minP"
"357",45,"ours.0.01",1,37,"ha.resid",1000,1,40,0,0,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","Global (alpha=0.01)"
"358",45,"ours.0.05",1,37,"ha.resid",1000,1,40,0,0,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","Global (alpha=0.05)"
"359",45,"Romano",1,37,"ha.resid",1000,1,40,0,0,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","Romano"
"360",45,"Wstep",1,37,"ha.resid",1000,1,40,0,0,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","Wstep"
"361",46,"bonf.naive",1,38,"ha.resid",1000,1,40,0,0.1,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","Bonferroni"
"362",46,"holm",1,38,"ha.resid",1000,1,40,0,0.1,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","Holm"
"364",46,"minP",1,38,"ha.resid",1000,1,40,0,0.1,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","minP"
"365",46,"ours.0.01",1,38,"ha.resid",1000,1,40,0,0.1,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","Global (alpha=0.01)"
"366",46,"ours.0.05",1,38,"ha.resid",1000,1,40,0,0.1,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","Global (alpha=0.05)"
"367",46,"Romano",1,38,"ha.resid",1000,1,40,0,0.1,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","Romano"
"368",46,"Wstep",1,38,"ha.resid",1000,1,40,0,0.1,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","Wstep"
"369",47,"bonf.naive",1,39,"ha.resid",1000,1,40,0,0.3,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","Bonferroni"
"370",47,"holm",1,39,"ha.resid",1000,1,40,0,0.3,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","Holm"
"372",47,"minP",1,39,"ha.resid",1000,1,40,0,0.3,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","minP"
"373",47,"ours.0.01",1,39,"ha.resid",1000,1,40,0,0.3,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","Global (alpha=0.01)"
"374",47,"ours.0.05",1,39,"ha.resid",1000,1,40,0,0.3,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","Global (alpha=0.05)"
"375",47,"Romano",1,39,"ha.resid",1000,1,40,0,0.3,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","Romano"
"376",47,"Wstep",1,39,"ha.resid",1000,1,40,0,0.3,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","Wstep"
"377",48,"bonf.naive",1,40,"ha.resid",1000,1,40,0,0.6,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","Bonferroni"
"378",48,"holm",1,40,"ha.resid",1000,1,40,0,0.6,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","Holm"
"380",48,"minP",1,40,"ha.resid",1000,1,40,0,0.6,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","minP"
"381",48,"ours.0.01",1,40,"ha.resid",1000,1,40,0,0.6,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","Global (alpha=0.01)"
"382",48,"ours.0.05",1,40,"ha.resid",1000,1,40,0,0.6,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","Global (alpha=0.05)"
"383",48,"Romano",1,40,"ha.resid",1000,1,40,0,0.6,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","Romano"
"384",48,"Wstep",1,40,"ha.resid",1000,1,40,0,0.6,0.15,0.5,"X-Y correlation: 0.15 for 50% of pairs","Wstep"
"385",49,"bonf.naive",1,57,"ha.resid",1000,1,40,0,0,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","Bonferroni"
"386",49,"holm",1,57,"ha.resid",1000,1,40,0,0,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","Holm"
"388",49,"minP",1,57,"ha.resid",1000,1,40,0,0,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","minP"
"389",49,"ours.0.01",1,57,"ha.resid",1000,1,40,0,0,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","Global (alpha=0.01)"
"390",49,"ours.0.05",1,57,"ha.resid",1000,1,40,0,0,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","Global (alpha=0.05)"
"391",49,"Romano",1,57,"ha.resid",1000,1,40,0,0,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","Romano"
"392",49,"Wstep",1,57,"ha.resid",1000,1,40,0,0,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","Wstep"
"393",50,"bonf.naive",1,58,"ha.resid",1000,1,40,0,0.1,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","Bonferroni"
"394",50,"holm",1,58,"ha.resid",1000,1,40,0,0.1,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","Holm"
"396",50,"minP",1,58,"ha.resid",1000,1,40,0,0.1,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","minP"
"397",50,"ours.0.01",1,58,"ha.resid",1000,1,40,0,0.1,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","Global (alpha=0.01)"
"398",50,"ours.0.05",1,58,"ha.resid",1000,1,40,0,0.1,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","Global (alpha=0.05)"
"399",50,"Romano",1,58,"ha.resid",1000,1,40,0,0.1,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","Romano"
"400",50,"Wstep",1,58,"ha.resid",1000,1,40,0,0.1,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","Wstep"
"401",51,"bonf.naive",1,59,"ha.resid",1000,1,40,0,0.3,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","Bonferroni"
"402",51,"holm",1,59,"ha.resid",1000,1,40,0,0.3,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","Holm"
"404",51,"minP",1,59,"ha.resid",1000,1,40,0,0.3,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","minP"
"405",51,"ours.0.01",1,59,"ha.resid",1000,1,40,0,0.3,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","Global (alpha=0.01)"
"406",51,"ours.0.05",1,59,"ha.resid",1000,1,40,0,0.3,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","Global (alpha=0.05)"
"407",51,"Romano",1,59,"ha.resid",1000,1,40,0,0.3,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","Romano"
"408",51,"Wstep",1,59,"ha.resid",1000,1,40,0,0.3,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","Wstep"
"409",52,"bonf.naive",0.998,60,"ha.resid",1000,1,40,0,0.6,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","Bonferroni"
"410",52,"holm",0.998,60,"ha.resid",1000,1,40,0,0.6,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","Holm"
"412",52,"minP",0.998,60,"ha.resid",1000,1,40,0,0.6,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","minP"
"413",52,"ours.0.01",1,60,"ha.resid",1000,1,40,0,0.6,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","Global (alpha=0.01)"
"414",52,"ours.0.05",1,60,"ha.resid",1000,1,40,0,0.6,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","Global (alpha=0.05)"
"415",52,"Romano",1,60,"ha.resid",1000,1,40,0,0.6,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","Romano"
"416",52,"Wstep",0.998,60,"ha.resid",1000,1,40,0,0.6,0.15,1,"X-Y correlation: 0.15 for 100% of pairs","Wstep"
