"","scen","method","power","X","bt.type","n","nX","nY","rho.XX","rho.YY","rho.XY","prop.corr","group","method.label"
"45",6,"ours.0.01",0.06,6,"ha.resid",1000,1,40,0,0.1,0.03,0.2,"X-Y correlation: 0.03 for 20% of pairs","Global (alpha=0.01)"
"46",6,"ours.0.05",0.078,6,"ha.resid",1000,1,40,0,0.1,0.03,0.2,"X-Y correlation: 0.03 for 20% of pairs","Global (alpha=0.05)"
"47",6,"Romano",0.192,6,"ha.resid",1000,1,40,0,0.1,0.03,0.2,"X-Y correlation: 0.03 for 20% of pairs","Romano"
"48",6,"Wstep",0.144,6,"ha.resid",1000,1,40,0,0.1,0.03,0.2,"X-Y correlation: 0.03 for 20% of pairs","Wstep"
"49",7,"bonf.naive",0.08,7,"ha.resid",1000,1,40,0,0.3,0.03,0.2,"X-Y correlation: 0.03 for 20% of pairs","Bonferroni"
"50",7,"holm",0.08,7,"ha.resid",1000,1,40,0,0.3,0.03,0.2,"X-Y correlation: 0.03 for 20% of pairs","Holm"
"52",7,"minP",0.096,7,"ha.resid",1000,1,40,0,0.3,0.03,0.2,"X-Y correlation: 0.03 for 20% of pairs","minP"
"53",7,"ours.0.01",0.072,7,"ha.resid",1000,1,40,0,0.3,0.03,0.2,"X-Y correlation: 0.03 for 20% of pairs","Global (alpha=0.01)"
"54",7,"ours.0.05",0.066,7,"ha.resid",1000,1,40,0,0.3,0.03,0.2,"X-Y correlation: 0.03 for 20% of pairs","Global (alpha=0.05)"
"55",7,"Romano",0.148,7,"ha.resid",1000,1,40,0,0.3,0.03,0.2,"X-Y correlation: 0.03 for 20% of pairs","Romano"
"56",7,"Wstep",0.096,7,"ha.resid",1000,1,40,0,0.3,0.03,0.2,"X-Y correlation: 0.03 for 20% of pairs","Wstep"
"57",8,"bonf.naive",0.102,8,"ha.resid",1000,1,40,0,0.6,0.03,0.2,"X-Y correlation: 0.03 for 20% of pairs","Bonferroni"
"58",8,"holm",0.102,8,"ha.resid",1000,1,40,0,0.6,0.03,0.2,"X-Y correlation: 0.03 for 20% of pairs","Holm"
"60",8,"minP",0.152,8,"ha.resid",1000,1,40,0,0.6,0.03,0.2,"X-Y correlation: 0.03 for 20% of pairs","minP"
"61",8,"ours.0.01",0.114,8,"ha.resid",1000,1,40,0,0.6,0.03,0.2,"X-Y correlation: 0.03 for 20% of pairs","Global (alpha=0.01)"
"62",8,"ours.0.05",0.082,8,"ha.resid",1000,1,40,0,0.6,0.03,0.2,"X-Y correlation: 0.03 for 20% of pairs","Global (alpha=0.05)"
"63",8,"Romano",0.172,8,"ha.resid",1000,1,40,0,0.6,0.03,0.2,"X-Y correlation: 0.03 for 20% of pairs","Romano"
"64",8,"Wstep",0.152,8,"ha.resid",1000,1,40,0,0.6,0.03,0.2,"X-Y correlation: 0.03 for 20% of pairs","Wstep"
"65",9,"bonf.naive",0.222,25,"ha.resid",1000,1,40,0,0,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","Bonferroni"
"66",9,"holm",0.222,25,"ha.resid",1000,1,40,0,0,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","Holm"
"68",9,"minP",0.22,25,"ha.resid",1000,1,40,0,0,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","minP"
